"name","toc_percent","tn_percent","date_run"
"1",4.77,0.12,2022-10-10
"2",1.69,0.16,2022-10-10
"3",2.8,0.25,2022-10-10
"4",0.3,0.08,2022-10-10
"5",5.23,0.17,2022-10-10
"6",0.31,0.07,2022-10-10
"7",2.86,0.22,2022-10-10
"8",0.49,0.09,2022-10-10
"9",5.95,0.23,2022-10-10
"10",2.23,0.13,2022-10-10
"11",0.18,0.06,2022-10-10
"12",0.55,0.08,2022-10-10
"13",0.19,0.08,2022-10-10
"14",0.47,0.08,2022-10-10
"15",0.35,0.07,2022-10-10
"16",0.28,0.09,2022-10-10
"17",0.69,0.1,2022-10-10
"18",6.75,0.1,2022-11-10
"19",1.7,0.16,2022-10-10
"20",0.63,0.1,2022-10-10
"21",0.59,0.11,2022-10-10
"22",0.44,0.1,2022-10-10
"23",0.31,0.1,2022-10-10
"24",0.23,0.07,2022-10-10
"25",0.48,0.11,2022-10-10
"26",0.17,0.08,2022-10-10
"27",2.58,0.18,2022-10-10
"28",0.16,0.08,2022-10-10
"29",0.41,0.09,2022-10-10
"30",0.3,0.09,2022-10-10
"31",0.91,0.13,2022-10-11
"32",0.42,0.11,2022-10-11
"33",3.11,0.18,2022-10-11
"34",0.47,0.09,2022-10-11
"35",0.36,0.08,2022-10-11
"36",4.33,0.36,2022-10-11
"37",0.21,0.07,2022-10-11
"38",0.13,0.06,2022-10-21
"39",2.79,0.18,2022-10-11
"40",0.14,0.09,2022-10-11
"41",5.97,0.46,2022-10-11
"42",0.5,0.1,2022-10-11
"43",6.04,0.1,2022-10-11
"44",0.8,0.1,2022-10-11
"45",0.22,0.08,2022-10-11
"46",5.01,0.15,2022-10-11
"47",2.37,0.23,2022-10-11
"48",0.21,0.09,2022-10-11
"49",5.12,0.5,2022-10-11
"50",0.25,0.1,2022-10-11
"51",0.27,0.09,2022-10-11
"52",2.2,0.21,2022-10-11
"53",0.18,0.1,2022-10-11
"54",18.38,0.68,2022-11-10
"55",0.22,0.09,2022-10-11
"56",0.36,0.08,2022-10-11
"57",0.29,0.1,2022-10-11
"58",0.22,0.09,2022-10-11
"59",38.42,2.24,2022-11-10
"60",10.48,0.39,2022-11-10
"61",3.18,0.21,2022-11-10
"62",1.14,0.08,2022-11-10
"63",0.58,0.06,2022-11-10
"64",4.55,0.16,2022-11-10
"65",38.95,2.3,2022-11-10
"66",1.98,0.09,2022-11-10
"67",6.89,0.41,2022-11-10
"68",37.72,2.24,2022-11-10
"69",1.88,0.11,2022-11-10
"70",5.86,0.09,2022-11-10
