"name","toc_percent","tn_percent"
"228",0.27,0.07
"229",0.52,0.08
"230",0.52,0.08
"231",5.8,0.21
"232",0.49,0.09
"233",2.26,0.13
"234",5.55,0.24
"235",1.56,0.14
"236",0.89,0.12
"237",0.44,0.07
"238",3.03,0.08
"239",6.66,0.43
"240",0.56,0.07
"241",0.45,0.09
"242",2.02,0.16
"243",0.63,0.11
"244",1.95,0.17
"245",2.54,0.23
"246",4.03,0.09
"247",2.68,0.19
"248",0.61,0.1
"249",0.37,0.11
"250",3.91,0.16
"251",0.24,0.11
"252",0.49,0.11
"253",0.24,0.14
"254",0.59,0.1
"255",1.35,0.15
"256",3.83,0.35
"257",0.49,0.09
"258",0.24,0.1
"259",0.24,0.08
"260",1.23,0.17
"261",0.24,0.09
"262",0.54,0.11
"263",0.36,0.1
"264",0.96,0.1
"265",0.51,0.11
"266",0.27,0.11
"267",0.24,0.08
"268",0.35,0.08
"269",0.46,0.09
"270",0.21,0.08
"271",0.73,0.11
"272",1.32,0.12
"273",0.28,0.07
"274",1.17,0.1
"275",0.6,0.08
"276",0.86,0.14
