"name","toc_percent","tn_percent","memo"
"R1",0.26,0.21,""
"R2",0.34,0.12,""
"R3",0.38,0.19,""
"R4",2.1,0.34,""
"R5",1.2,0.22,""
"R6",0.25,0.13,""
"R7",2.64,0.18,""
"R8",0.38,0.1,""
"R9",2.45,0.35,""
"R10",0.2,0.14,""
"R11",0.21,0.12,""
"R12",1.88,0.17,""
"R12-rep",1.73,0.16,""
"R13",0.32,0.14,""
"R14",0.33,0.15,""
"R15",0.22,0.17,""
"R16",2.09,0.36,""
"R17",0.36,0.12,""
"R18",0.88,0.21,""
"R19",1.82,0.33,""
"R20",2.71,0.37,""
"R21",2.23,0.34,""
"R22",0.97,0.17,""
"R22-rep",0.94,0.17,""
"R23",0.2,0.16,""
"R24",0.38,0.17,""
"R25",1.31,0.19,""
"R26",0.15,0.15,""
"R27",0.44,0.11,""
"R28",11.94,0.42,""
"R29",0.86,0.21,""
"R30",9.85,0.46,""
"R31",10.84,0.5,""
"R32",0.77,0.2,""
"R33",0.54,0.16,""
"R34",1.84,0.25,""
"R34-rep",1.82,0.25,""
"R35",1.27,0.2,""
"R36",0.15,0.11,""
"R37",0.5,0.19,""
"R38",0.31,0.12,""
"R39",0.49,0.14,""
"R40",0.22,0.18,""
"R41",0.66,0.19,""
"R42",5.64,0.24,""
"R43",0.34,0.2,""
"R44",0.21,0.07,""
"R44-rep",0.17,0.12,""
"R45",0.57,0.32,""
"R46",2.08,0.34,""
"R47",0.42,0.31,""
"R48",0.4,0.29,""
"R49",0.58,0.22,""
"R50",0.21,0.3,""
"R51",0.68,0.25,""
"R51-rep",0.7,0.25,""
"R52",0.16,0.26,""
"R53",3.75,0.35,""
"R54",0.37,0.29,""
"R55",0.16,0.22,""
"R56",3.41,0.33,""
"R57",0.71,0.25,""
"R58",0.32,0.26,""
"R58-rep",0.33,0.23,""
"",0,0,""
