Sample_ID,Randomized_ID,CN Notes,Parent_ID,toc_percent,tn_percent,memo
EC_35_SCN-D1,1,Ran in BSF,EC_35,1.64,0.1,skip
EC_17_SCN-D1,2,Ran in BSF,EC_17,24.71,0.17,skip
EC_37_SCN-W1,3,Ran in BSF,EC_37,0.55,0.03,skip
EC_22_SCN-W1,4,Ran in BSF,EC_22,20.54,0.12,skip
EC_18_SCN-W1,5,Ran in BSF,EC_18,0.23,0.03,skip
EC_32_SCN-W1,6,Ran in BSF,EC_32,22.48,0.24,skip
EC_11_SCN-W1,7,Ran in BSF,EC_11,2.18,0.19,
EC_39_SCN-D1,8,Ran in BSF,EC_39,1.89,0.04,
EC_13_SCN-D1,9,Ran in BSF,EC_13,2.3,0.06,
EC_27_SCN-D1,10,Ran in BSF,EC_27,1.68,0.1,
EC_34_SCN-D1,11,Ran in BSF,EC_34,1.06,0.08,
EC_17_SCN-W1,12,Ran in BSF,EC_17,0.2,0.06,
EC_64_SCN-W1,13,Ran in BSF,EC_64,0.63,0.05,
EC_05_SCN-D1,14,Ran in BSF,EC_05,0.29,0.05,
EC_11_SCN-D1,15,Ran in BSF,EC_11,1.59,0.14,
EC_66_SCN-W1,16,Ran in BSF,EC_66,0.23,0.05,
EC_21_SCN-D1,17,Ran in BSF,EC_21,0.2,0.04,
EC_40_SCN-W1,18,Ran in BSF,EC_40,1.81,0.12,
EC_12_SCN-W1,19,Ran in BSF,EC_12,1.66,0.15,
EC_41_SCN-W1,20,Ran in BSF,EC_41,1.94,0.06,
EC_63_SCN-W1,21,Ran in BSF,EC_63,0.42,0.03,
EC_22_SCN-D1,22,Ran in BSF,EC_22,0.4,0.06,
EC_39_SCN-W1,23,Ran in BSF,EC_39,1.01,0.03,
EC_66_SCN-D1,24,Ran in BSF,EC_66,0.2,0.04,
EC_63_SCN-D1,25,Ran in BSF,EC_63,0.42,0.04,
EC_44_SCN-W1,26,Ran in BSF,EC_44,0.31,0.05,
EC_23_SCN-D1,27,Ran in BSF,EC_23,1.19,0.07,
EC_38_SCN-D1,28,Ran in BSF,EC_38,0.31,0.05,
EC_18_SCN-D1,29,Ran in BSF,EC_18,0.15,0.04,
EC_27_SCN-W1,30,Ran in BSF,EC_27,1.32,0.12,
EC_23_SCN-W1,31,Ran in BSF,EC_23,2.18,0.18,
EC_41_SCN-D1,32,Ran in BSF,EC_41,1.72,0.07,
EC_37_SCN-D1,33,Ran in BSF,EC_37,0.37,0.04,
EC_14_SCN-W1,34,Ran in BSF,EC_14,1.75,0.12,
EC_42_SCN-W1,35,Ran in BSF,EC_42,0.27,0.04,
EC_44_SCN-D1,36,Ran in BSF,EC_44,0.7,0.05,
EC_35_SCN-W1,37,Ran in BSF,EC_35,1.1,0.07,
EC_24_SCN-D1,38,Ran in BSF,EC_24,0.36,0.05,
EC_56_SCN-W1,39,Ran in BSF,EC_56,0.17,0.04,
EC_33_SCN-W1,40,Ran in BSF,EC_33,0.14,0.03,
EC_05_SCN-W1,41,Ran in BSF,EC_05,0.27,0.04,
EC_38_SCN-W1,42,Ran in BSF,EC_38,0.31,0.05,
EC_33_SCN-D1,43,Ran in BSF,EC_33,0.14,0.05,
EC_64_SCN-D1,44,Ran in BSF,EC_64,0.56,0.06,
EC_24_SCN-W1,45,Ran in BSF,EC_24,0.27,0.05,
EC_42_SCN-D1,46,Ran in BSF,EC_42,0.23,0.05,
EC_21_SCN-W1,47,Ran in BSF,EC_21,0.16,0.05,
EC_32_SCN-D1,48,Ran in BSF,EC_32,3.58,0.23,
EC_14_SCN-D1,49,Ran in BSF,EC_14,0.96,0.06,
EC_40_SCN-D1,50,Ran in BSF,EC_40,1.21,0.1,
EC_56_SCN-D1,51,Ran in BSF,EC_56,0.16,0.04,
EC_34_SCN-W1,52,Ran in BSF,EC_34,1.19,0.1,
EC_13_SCN-W1,53,Ran in BSF,EC_13,2.43,0.07,
