No. ,Info  ,Name  ,Method  ,Weight  [mg],N  Area,C  Area,N  Factor,C  Factor,N  [%],C  [%],C/N  ratio,Memo  ,Date       Time  
1,"Cnp,Nu",mt,Blank with O,100,34,0,1,1,0,0,0,,12/26/2023 13:45
2,"Nnp,Cnp",mt,Blank with O,100,0,0,1,1,0,0,0,,12/26/2023 13:52
3,,RunIn,20mg150sIRMS_delay,0.507,1766,5337,1,1,9.09,38.55,4.2414,,12/26/2023 14:04
4,,RunIn,20mg150sIRMS_delay,0.489,1825,5466,1,1,9.74,40.94,4.2033,,12/26/2023 14:16
5,,aspartic,20mg150sIRMS_delay,0.511,1952,5735,1.055,0.8779,10.52,36.09,3.4306,,12/26/2023 14:27
6,,aspartic,20mg150sIRMS_delay,0.502,1907,5506,1.0609,0.8984,10.52,36.09,3.4306,,12/26/2023 14:39
7,Nu,AV1_R1,20mg150sIRMS_delay,9.603,586,21655,1.058,0.8881,0.17,7.39,43.5386,,12/26/2023 14:51
8,,AV1_R2,20mg150sIRMS_delay,9.801,927,17906,1.058,0.8881,0.26,5.98,22.8325,,12/26/2023 15:02
9,,AV1_R3,20mg150sIRMS_delay,10.49,2919,38972,1.058,0.8881,0.77,12.18,15.8561,,12/26/2023 15:14
10,,AV1_R4,20mg150sIRMS_delay,10.31,959,23869,1.058,0.8881,0.26,7.58,29.4421,,12/26/2023 15:26
11,,AV1_R5,20mg150sIRMS_delay,9.518,1219,19085,1.058,0.8881,0.35,6.57,18.5366,,12/26/2023 15:37
12,,AV1_R6,20mg150sIRMS_delay,10.358,1142,21743,1.058,0.8881,0.3,6.88,22.5512,,12/26/2023 15:49
13,Nu,AV1_R7,20mg150sIRMS_delay,10.116,442,20376,1.058,0.8881,0.12,6.6,54.2857,,12/26/2023 16:01
14,,AV1_R8,20mg150sIRMS_delay,10.455,2712,39470,1.058,0.8881,0.72,12.38,17.2868,,12/26/2023 16:12
15,,AV1_R9,20mg150sIRMS_delay,9.964,695,19606,1.058,0.8881,0.19,6.44,33.2464,,12/26/2023 16:24
16,,AV1_R10,20mg150sIRMS_delay,10.224,2260,26743,1.058,0.8881,0.61,8.56,14.0349,,12/26/2023 16:36
