No. ,Info  ,Name  ,Method  ,Weight  [mg],N  Area,C  Area,N  Factor,C  Factor,N  [%],C  [%],C/N  ratio,Memo  ,Date       Time  
1,Cu,mt,Blank without O,100,734,427,1,1,0.02,0.02,0.8139,"redn tube, ash cruc changed",2/21/23 15:58
2,"Nu,Cu",mt,Blank without O,100,5,121,1,1,0,0,31.7694,skip,2/21/23 16:06
3,"Nu,Cu",mt,Blank without O,100,15,87,1,1,0,0,8.2273,skip,2/21/23 16:14
4,"Nu,Cu",mt,20mg150sIRMS_delay,100,39,225,1,1,0,0.01,7.9716,skip,2/21/23 16:26
5,"Nu,Cu",mt,20mg150sIRMS_delay,100,59,299,1,1,0,0.01,7.0929,skip,2/21/23 16:38
6,"Nnp,Cu",mt,20mg150sIRMS_delay,100,0,326,1,1,0,0.01,0,skip,2/22/23 9:39
7,"Nu,Cu",mt,20mg150sIRMS_delay,100,31,117,1,1,0,0,5.3109,skip,2/22/23 9:51
8,"Nu,Cu",mt,20mg150sIRMS_delay,100,60,48,1,1,0,0,1.1096,skip,2/22/23 10:03
9,"Nu,Cu",mt,20mg150sIRMS_delay,100,45,39,1,1,0,0,1.2124,skip,2/22/23 10:15
10,"Nu,Cu",MT,20mg150sIRMS_delay,100,140,119,1,1,0,0,1.1896,skip,2/22/23 15:22
11,"Nu,Cu",MT,20mg150sIRMS_delay,100,49,38,1,1,0,0,1.1052,skip,2/22/23 15:35
12,"Nu,Cu",MT,20mg150sIRMS_delay,100,105,34,1,1,0,0,0.4499,skip,2/22/23 15:48
13,,runin,20mg150sIRMS_delay,0.506,2017,5780,1,1,10.41,41.84,4.0209,skip,2/22/23 16:01
14,,runin,20mg150sIRMS_delay,0.478,1726,5156,1,1,9.43,39.5,4.1907,skip,2/22/23 16:15
15,,aspartic,20mg150sIRMS_delay,0.499,2256,5801,0.8917,0.8475,10.52,36.09,3.4306,skip,2/22/23 16:28
16,,aspartic,20mg150sIRMS_delay,0.46,1869,5378,0.9918,0.8428,10.52,36.09,3.4306,skip,2/22/23 16:41
17,,aspartic,20mg150sIRMS_delay,0.537,1908,5684,1.1345,0.9308,10.52,36.09,3.4306,skip,2/22/23 16:54
18,"Nu,Cu",moran-low,20mg150sIRMS_delay,0.068,254,857,1.006,0.8737,9.89,40.46,4.0894,skip,2/22/23 17:07
19,,moran-med,20mg150sIRMS_delay,0.5,1590,5953,1.006,0.8737,8.35,38.11,4.5625,skip,2/22/23 17:21
20,Nu,1,20mg150sIRMS_delay,10.036,381,5149,1.006,0.8737,0.1,1.64,16.3514,skip,2/22/23 18:00
21,bl,2,20mg150sIRMS_delay,10.321,671,78440,1.006,0.8737,0.17,24.71,143.8168,skip,2/22/23 18:14
22,"Nu,Cu",3,20mg150sIRMS_delay,10.206,102,1755,1.006,0.8737,0.03,0.55,20.9602,skip,2/22/23 18:27
23,"bl,Nu",4,20mg150sIRMS_delay,10.247,475,64870,1.006,0.8737,0.12,20.54,167.4759,skip,2/22/23 18:42
24,"Nu,Cu",5,20mg150sIRMS_delay,9.706,103,694,1.006,0.8737,0.03,0.23,8.1427,skip,2/22/23 18:55
25,bl,6,20mg150sIRMS_delay,10.401,964,71989,1.006,0.8737,0.24,22.48,92.1194,skip,2/22/23 19:09
26,"Nnp,Cnp",mt,Blank without O,100,0,0,1.006,0.8737,0,0,0,"#17, CO2 bakeout",2/23/23 11:24
27,"Cnp,Nu",mt,Blank without O,100,7,0,1.006,0.8737,0,0,0,#18,2/23/23 11:31
28,"Nu,Cu",mt,Blank without O,100,19,15,1.006,0.8737,0,0,0.978,#19,2/23/23 11:40
29,"Nu,Cu",MT,20mg150sIRMS_delay,100,147,35,1.006,0.8737,0,0,0.2856,,2/23/23 16:55
30,"Nu,Cu",MT,20mg150sIRMS_delay,100,111,61,1.006,0.8737,0,0,0.6694,,2/23/23 17:08
31,"Nu,Cu",MT,20mg150sIRMS_delay,100,110,31,1.006,0.8737,0,0,0.3407,,2/23/23 17:21
32,,runin,20mg150sIRMS_delay,0.552,1848,6034,1.006,0.8737,8.79,34.99,3.9795,,2/23/23 17:35
33,,runin,20mg150sIRMS_delay,0.529,1906,5504,1.006,0.8737,9.46,33.3,3.5204,,2/23/23 17:48
34,,runin,20mg150sIRMS_delay,0.526,2230,5955,1.006,0.8737,11.13,36.24,3.2561,, 
35,,aspartic,20mg150sIRMS_delay,0.538,2215,5965,0.9792,0.8886,10.52,36.09,3.4306,,2/23/23 18:14
36,,aspartic,20mg150sIRMS_delay,0.515,2129,5661,0.9752,0.8964,10.52,36.09,3.4306,,2/23/23 18:27
37,"Nu,Cu",moran-low,20mg150sIRMS_delay,0.065,220,854,0.9772,0.8925,8.7,43.09,4.9509,,2/23/23 18:41
38,,moran-med,20mg150sIRMS_delay,0.44,1503,5454,0.9772,0.8925,8.71,40.51,4.6495,,2/23/23 18:54
39,Nu,18,20mg150sIRMS_delay,9.533,440,5281,0.9772,0.8925,0.12,1.81,15.272,,2/23/23 19:07
40,Nu,19,20mg150sIRMS_delay,10.17,579,5164,0.9772,0.8925,0.15,1.66,11.3383,,2/23/23 19:20
41,Nu,20,20mg150sIRMS_delay,10.256,220,6084,0.9772,0.8925,0.06,1.94,35.1895,,2/23/23 19:34
42,"Nu,Cu",MT,20mg150sIRMS_delay,100,93,46,0.9772,0.8925,0,0,0.631,,2/23/23 19:47
43,,runin,20mg150sIRMS_delay,0.459,1990,5382,0.9772,0.8925,11.05,38.33,3.4671,, 
44,"Nu,Cu",moran-low,20mg150sIRMS_delay,0.035,182,468,0.9772,0.8925,13.34,43.81,3.2838,,2/23/23 20:13
45,,moran-med,20mg150sIRMS_delay,0.56,1930,6934,0.9772,0.8925,8.79,40.5,4.6086,,2/23/23 20:26
46,"Nu,Cu",21,20mg150sIRMS_delay,9.995,117,1270,0.9772,0.8925,0.03,0.42,13.8327,,2/23/23 20:40
47,"Nu,Cu",22,20mg150sIRMS_delay,9.574,231,1170,0.9772,0.8925,0.06,0.4,6.4682,,2/23/23 20:53
48,Nu,23,20mg150sIRMS_delay,10.163,120,3124,0.9772,0.8925,0.03,1.01,33.1538,,2/23/23 21:06
49,Nu,23-rep,20mg150sIRMS_delay,10.267,191,3002,0.9772,0.8925,0.05,0.96,19.9666,,2/23/23 21:19
50,"Nu,Cu",24,20mg150sIRMS_delay,10.352,165,638,0.9772,0.8925,0.04,0.2,4.946,,2/23/23 21:32
51,"Nu,Cu",25,20mg150sIRMS_delay,10.218,176,1315,0.9772,0.8925,0.04,0.42,9.5538,,2/23/23 21:46
52,"Nu,Cu",26,20mg150sIRMS_delay,10.429,212,971,0.9772,0.8925,0.05,0.31,5.8496,,2/23/23 21:59
53,Nu,27,20mg150sIRMS_delay,10.439,276,3808,0.9772,0.8925,0.07,1.19,17.5583,,2/23/23 22:12
54,"Nu,Cu",28,20mg150sIRMS_delay,10.468,190,1005,0.9772,0.8925,0.05,0.31,6.7571,,2/23/23 22:25
55,"Nu,Cu",29,20mg150sIRMS_delay,10.126,139,474,0.9772,0.8925,0.04,0.15,4.3315,,2/23/23 22:38
56,Nu,30,20mg150sIRMS_delay,10.112,466,4097,0.9772,0.8925,0.12,1.32,11.1776,,2/23/23 22:52
57,"Nu,Cu",MT,20mg150sIRMS_delay,100,92,23,0.9772,0.8925,0,0,0.3144,,2/23/23 23:05
58,,aspartic,20mg150sIRMS_delay,0.532,2083,5888,1.0298,0.8901,10.52,36.09,3.4306,,2/23/23 23:18
59,,31,20mg150sIRMS_delay,10.318,681,6897,1.0298,0.8901,0.18,2.18,12.2144,,2/23/23 23:31
60,Nu,32,20mg150sIRMS_delay,9.79,266,5179,1.0298,0.8901,0.07,1.72,23.4509,,2/23/23 23:45
61,"Nu,Cu",33,20mg150sIRMS_delay,10.463,168,1175,1.0298,0.8901,0.04,0.37,8.4353,,2/23/23 23:58
62,Nu,34,20mg150sIRMS_delay,9.982,440,5360,1.0298,0.8901,0.12,1.75,14.6617,,2/24/23 0:11
63,"Nu,Cu",35,20mg150sIRMS_delay,10.019,136,818,1.0298,0.8901,0.04,0.27,7.2866,,2/24/23 0:24
64,"Nu,Cu",36,20mg150sIRMS_delay,10.142,198,2183,1.0298,0.8901,0.05,0.7,13.284,,2/24/23 0:38
65,Nu,37,20mg150sIRMS_delay,9.911,272,3358,1.0298,0.8901,0.07,1.1,14.8561,,2/24/23 0:51
66,"Nu,Cu",38,20mg150sIRMS_delay,9.846,167,1086,1.0298,0.8901,0.05,0.36,7.8284,,2/24/23 1:04
67,"Nu,Cu",39,20mg150sIRMS_delay,10.05,166,538,1.0298,0.8901,0.04,0.17,3.9,,2/24/23 1:17
68,"Nu,Cu",40,20mg150sIRMS_delay,10.224,119,427,1.0298,0.8901,0.03,0.14,4.3177,,2/24/23 1:31
69,"Nu,Cu",MT,20mg150sIRMS_delay,100,96,55,1.0298,0.8901,0,0,0.688,,2/24/23 1:44
70,,aspartic,20mg150sIRMS_delay,0.518,2094,5752,0.9974,0.8873,10.52,36.09,3.4306,,2/24/23 1:57
71,"Nu,Cu",41,20mg150sIRMS_delay,9.895,170,830,0.9974,0.8873,0.04,0.27,6.0794,,2/24/23 2:10
72,"Nu,Cu",42,20mg150sIRMS_delay,10.212,208,974,0.9974,0.8873,0.05,0.31,5.8187,,2/24/23 2:23
73,"Nu,Cu",43,20mg150sIRMS_delay,10.388,178,456,0.9974,0.8873,0.05,0.14,3.1755,,2/24/23 2:37
74,"Nu,Cu",44,20mg150sIRMS_delay,10.187,225,1766,0.9974,0.8873,0.06,0.56,9.7363,,2/24/23 2:50
75,"Nu,Cu",45,20mg150sIRMS_delay,10.429,210,872,0.9974,0.8873,0.05,0.27,5.1507,,2/24/23 3:03
76,"Nu,Cu",46,20mg150sIRMS_delay,10.273,190,712,0.9974,0.8873,0.05,0.23,4.6582,,2/24/23 3:16
77,"Nu,Cu",46-rep,20mg150sIRMS_delay,10.325,225,790,0.9974,0.8873,0.06,0.25,4.3628,,2/24/23 3:30
78,"Nu,Cu",47,20mg150sIRMS_delay,10.375,178,498,0.9974,0.8873,0.05,0.16,3.4717,,2/24/23 3:43
79,,48,20mg150sIRMS_delay,9.603,829,10535,0.9974,0.8873,0.23,3.58,15.8548,,2/24/23 3:56
80,Nu,49,20mg150sIRMS_delay,9.663,225,2854,0.9974,0.8873,0.06,0.96,15.7133,,2/24/23 4:10
81,Nu,50,20mg150sIRMS_delay,10.335,377,3841,0.9974,0.8873,0.1,1.21,12.6358,,2/24/23 4:23
82,,aspartic,20mg150sIRMS_delay,0.458,1896,5147,0.9736,0.8769,10.52,36.09,3.4306,,2/24/23 4:36
83,"Nu,Cu",51,20mg150sIRMS_delay,10.456,146,512,0.9736,0.8769,0.04,0.16,4.422,,2/24/23 4:49
84,Nu,52,20mg150sIRMS_delay,9.762,384,3617,0.9736,0.8769,0.1,1.19,11.8171,,2/24/23 5:02
85,Nu,53,20mg150sIRMS_delay,10.006,269,7577,0.9736,0.8769,0.07,2.43,35.3791,,2/24/23 5:16
86,"Nu,Cu",MT,20mg150sIRMS_delay,100,89,36,0.9736,0.8769,0,0,0.5002,,2/24/23 5:29
87,,aspartic,20mg150sIRMS_delay,0.538,2133,5953,1.017,0.8904,10.52,36.09,3.4306,,2/24/23 5:42
88,Cu,aspartic-,20mg150sIRMS_delay,0.094,704,1296,1.017,0.8904,20,45.09,2.2542,, 
89,,aspartic,20mg150sIRMS_delay,1.009,3735,9239,1.0897,1.0739,10.52,36.09,3.4306,,2/24/23 6:09
90,,aspartic,20mg150sIRMS_delay,3.03,13611,33138,0.8995,0.8978,10.52,36.09,3.4306,,2/24/23 6:22
91,"Nu,Cu",moran-low,20mg150sIRMS_delay,0.059,258,767,0.9946,0.9858,11.45,47.09,4.112,,2/24/23 6:35
92,,moran-med,20mg150sIRMS_delay,0.51,1852,6202,0.9946,0.9858,9.43,43.92,4.6595,,2/24/23 6:48
93,,7,20mg150sIRMS_delay,9.754,693,5885,0.9946,0.9858,0.19,2.18,11.7405,,2/24/23 7:01
94,Nu,8,20mg150sIRMS_delay,10.105,168,5292,0.9946,0.9858,0.04,1.89,43.5396,,2/24/23 7:15
95,Nu,9,20mg150sIRMS_delay,9.673,229,6172,0.9946,0.9858,0.06,2.3,37.2278,,2/24/23 7:28
96,Nu,10,20mg150sIRMS_delay,10.128,388,4712,0.9946,0.9858,0.1,1.68,16.7807,,2/24/23 7:41
97,"Nu,Cu",MT,20mg150sIRMS_delay,100,63,60,0.9946,0.9858,0,0,1.3028,,2/24/23 7:54
98,,aspartic,20mg150sIRMS_delay,0.505,2121,5896,0.9598,0.8439,10.52,36.09,3.4306,,2/24/23 8:07
99,Nu,11,20mg150sIRMS_delay,10.164,339,3492,0.9598,0.8439,0.08,1.06,12.6331,,2/24/23 8:21
100,"Nu,Cu",12,20mg150sIRMS_delay,10.085,227,646,0.9598,0.8439,0.06,0.2,3.4962,,2/24/23 8:34
101,"Nu,Cu",13,20mg150sIRMS_delay,10.271,184,2086,0.9598,0.8439,0.05,0.63,13.9032,,2/24/23 8:47
102,"Nu,Cu",14,20mg150sIRMS_delay,10.33,195,979,0.9598,0.8439,0.05,0.29,6.1806,,2/24/23 9:00
103,Nu,15,20mg150sIRMS_delay,9.976,562,5135,0.9598,0.8439,0.14,1.59,11.1834,,2/24/23 9:13
104,"Nu,Cu",16,20mg150sIRMS_delay,9.998,191,757,0.9598,0.8439,0.05,0.23,4.8761,,2/24/23 9:26
105,"Nu,Cu",17,20mg150sIRMS_delay,10.14,164,668,0.9598,0.8439,0.04,0.2,5.0144,,2/24/23 9:40
106,"Nu,Cu",MT,20mg150sIRMS_delay,100,92,13,0.9598,0.8439,0,0,0.1706,,2/24/23 9:53
107,,aspartic,20mg150sIRMS_delay,0.539,1696,4785,1.2809,1.1101,10.52,36.09,3.4306,,2/24/23 10:37
108,,aspartic,20mg150sIRMS_delay,0.533,2996,7836,0.7173,0.6694,10.52,36.09,3.4306,,2/24/23 11:42
109,,,,0,0,0,0.9991,0.8898,0,0,0,, 
